n,budget,pool_cap,optimal_dynamic,optimal_static,optimal_static_nonoverlap,static_nonoverlap_greedy,exact_joint_greedy,marginal_product_greedy,adaptivity_gap,static_fraction_dynamic,static_nonoverlap_fraction_dynamic,static_greedy_fraction_dynamic,exact_joint_fraction_dynamic,marginal_product_fraction_dynamic,exact_minus_marginal,root_choices_differ,dynamic_states,exact_greedy_states,marginal_greedy_states,runtime_seconds,setting,instance,seed,utilities,health_probabilities
4,2,4,0.833991409527864,0.833991409527864,0.833991409527864,0.7845946538441256,0.7955286621363277,0.7955286621363277,1.0,1.0,1.0,0.940770666077121,0.9538811228123912,0.9538811228123912,0.0,0,162,7,7,0.0005576671101152897,random_n4_b2_g4,43,20260830,"(0.22524708198954974, 0.43692994564340465, 0.8075670985625126, 0.6022094645336316)","(0.8421169729760308, 0.6943028919210953, 0.5533000685279158, 0.3384181921029399)"
4,2,4,2.074253485451309,2.074253485451309,2.074253485451309,1.8689620454093498,1.9720696542600107,1.9720696542600107,1.0,1.0,1.0,0.901028759752913,0.9507370570144827,0.9507370570144827,0.0,0,162,7,7,0.00045783305540680885,random_n4_b2_g4,44,20260830,"(0.2781566360220695, 0.10773281280655365, 0.7378407107242552, 1.7037067334129763)","(0.8737218074994455, 0.5967407057392005, 0.873551370144218, 0.7623394031800642)"
4,2,4,0.350880053612103,0.35088005361210306,0.35088005361210306,0.35088005361210306,0.350880053612103,0.350880053612103,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,0.0,0,162,7,7,0.00045887473970651627,random_n4_b2_g4,45,20260830,"(0.49693984485434, 0.19646778281949792, 0.1682684723869638, 1.2484953486575117)","(0.48828055589612346, 0.22333076323156847, 0.2858466948131385, 0.08669154437465462)"
4,2,4,1.270147668127404,1.270147668127404,1.270147668127404,1.270147668127404,1.270147668127404,1.270147668127404,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.0004592081531882286,random_n4_b2_g4,46,20260830,"(0.7455064904695421, 0.16462190678099956, 1.293447837144361, 0.2342343157482101)","(0.3651226683092081, 0.09535540633348163, 0.7715396944716151, 0.14757672461359267)"
4,2,4,0.8932042609261841,0.8932042609261841,0.8932042609261841,0.8932042609261841,0.8932042609261841,0.8932042609261841,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.00045891711488366127,random_n4_b2_g4,47,20260830,"(0.2725513837638745, 0.17512739546892034, 0.9854542929036145, 0.9987478935860594)","(0.8559417071489235, 0.16566843256105984, 0.36795190229430064, 0.4876170953716572)"
4,2,4,1.2716556045540786,1.2716556045540783,1.2716556045540783,1.1359402716690297,1.2270430580143845,1.2270430580143845,1.0000000000000002,0.9999999999999998,0.9999999999999998,0.8932766604424796,0.9649177447259095,0.9649177447259095,0.0,0,162,7,7,0.000459291972219944,random_n4_b2_g4,48,20260830,"(1.6612097154180836, 0.3868292809473263, 0.49741969373311645, 0.4418019553311218)","(0.437949917183126, 0.8776107845138804, 0.7011732097745909, 0.16704338324336593)"
4,2,4,0.9096247946268075,0.9096247946268073,0.9096247946268073,0.9096247946268073,0.9096247946268073,0.9096247946268073,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0,162,7,7,0.0004613748751580715,random_n4_b2_g4,49,20260830,"(0.7835704919178323, 1.0250954004825574, 0.12667558715921673, 0.5926648182318167)","(0.452129690883377, 0.5417537822033294, 0.5065181295953288, 0.44810815363637385)"
4,2,4,0.7215039140438453,0.7215039140438455,0.7215039140438455,0.7215039140438455,0.7215039140438453,0.7215039140438453,0.9999999999999997,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,0.0,0,162,7,7,0.00047183409333229065,random_n4_b2_g4,50,20260830,"(0.302908124813433, 0.29009760986573113, 1.9774993822204299, 0.5554707992644565)","(0.4164446220169187, 0.6228954005409364, 0.24585587745895388, 0.42364795514924264)"
4,2,4,2.3716407645338746,2.3716407645338746,2.3716407645338746,1.992237459354174,2.2479835213661916,2.195327510030835,1.0,1.0,1.0,0.8400249688513559,0.9478600448192301,0.9256576893348802,0.05265601133535647,0,162,7,7,0.00046116579324007034,random_n4_b2_g4,51,20260830,"(0.899813440525042, 1.3395951837858944, 0.751339471849835, 0.15694666460136786)","(0.8702059897862426, 0.8512604304586479, 0.8569455809926203, 0.5970620362635392)"
4,2,4,0.5956632501859171,0.5956632501859171,0.5956632501859171,0.5956632501859171,0.5956632501859171,0.5956632501859171,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.0004309169016778469,random_n4_b2_g4,52,20260830,"(0.4288153457007196, 0.12900423806360142, 0.5215983712638174, 1.678945415884788)","(0.7113768185101254, 0.6966484749352602, 0.08072538284291822, 0.17309315185798874)"
